winner,tickets,opepen_count,checks_tickets,set40,set20,set10,set5,set4,set1
0x3f83d9b2b833df16a4e0bbfe0c870253e0fe1890,10,1,0,9354,,,,,
0x38f4945837802985cd8deb2292edea121b8ab684,10,1,0,4475,,,,,
0x19731836e2244c1aece7ad9e090428f75cff6e32,10,1,0,12225,,,,,
0x7d2898c1ace447a1bdadb5e2bad0608d98266061,10,1,0,7416,,,,,
0xb6bc19dcd9f8f98976ef00fe15eaeeaa0f2a2825,10,1,0,15749,,,,,
0x33de78662ceae7d544b01f43ebce772654cfc9ee,10,1,0,12702,,,,,
0x7a76ea3d90e842ac69ded5eaa3da3a13244b0359,20,2,0,"12169, 15671",,,,,
0x44006bc183b5149fb024e0145c38fcfcd783ade9,10,1,0,9842,,,,,
0x5168895228e49c785d3d77a4621f076403da79a0,30,3,0,"8105, 3838, 2403",,,,,
0x4f2061ccc695940193a387accf502b4582813b8d,10,1,0,14785,,,,,
0x46d4c16a65c66bf2d446789974f9a86d9bf7783d,10,1,0,417,,,,,
0xbb582d894a9bbcfd1b6bd5c5afaec37f384b133d,10,1,0,15475,,,,,
0x876cdf0b14116e3d47cb9cf4770a0ae2edc1d8e9,10,1,0,11450,,,,,
0x15b5964e9310280a6281f95cb1e1aab8b7ca1669,20,2,0,"4166, 15252",,,,,
0x0b70a6c44056a0962fbd8eb680c39e204ebda04d,10,1,0,14159,,,,,
0x0b72a0c907933a9084a83781df5b5bc4708e5515,10,1,0,14214,,,,,
0x7478f3eb9a84e584a1fea7862e246bc7c6f07590,20,2,0,"7715, 4186",,,,,
0x850141779f5d2e430d25864d17a2e7f4fe8ae2e1,10,1,0,5176,,,,,
0x414517726687054c759a9d1beb57c4d7156a50b6,10,1,0,12868,,,,,
0xf106f111db3e0cfcd64b0c0d3787432bf8ad42c8,10,1,0,5032,,,,,
0x1b599b8c703d97c37d40693ed0c59f2d5553fba5,11,1,1,1470,,,,,
0xcd1d61e5ca822ae47dabca328da705e2ef940f83,10,1,0,5825,,,,,
0x6836891dc804ced93ce5a18b5315e6c6b108ffd4,11,1,1,2005,,,,,
0x4ee62a58368159fa2e4bde24a76adc384f69ac4e,10,1,0,11643,,,,,
0x3b9ad17731eed88e4908ff6924cdac99b3bec29e,30,3,0,"10936, 7266, 4268",,,,,
0xa171b74586cadad8d25eb7be69d136cbcd067386,11,1,1,4966,,,,,
0x53e4efb76eb651388796e6f0d8d218acbd575b3e,10,1,0,2818,,,,,
0x2cf92ee841e0fb8231e164f8b064a0c98590fc37,10,1,0,6152,,,,,
0x95e5319f3cce838787af84dc8ae272affd77b030,10,1,0,15834,,,,,
0xae613ecc449ddc84c9977130bd062455237d1f00,10,1,0,14170,,,,,
0x6664ea534f093098005d522bfbc047f46270079c,10,1,0,3857,,,,,
0xf1d9dc3017aca8069dcdfe82d66c5267b6c77e3d,10,1,0,10174,,,,,
0x05b96fc6d19501fa6765749e257c1bf4fe7f9dbf,11,1,1,7972,,,,,
0xcaa9a109912e2a31981a88b3dbee2d33a1a5280d,10,1,0,986,,,,,
0x41bf39033c732f884a52ddf38f647ad63457ceec,10,1,0,9907,,,,,
0x7c8c35804456ac3f5888c932873cb6454bff6cd8,10,1,0,12777,,,,,
0xecb97c21cf09b8ecec7f70cbf6b0dbb1a185e1a5,10,1,0,14038,,,,,
0xed25995b77a7941f5083de410c3ff0216f1fd795,10,1,0,15212,,,,,
0xd1380a4e089950ee3a23d818e24ccbbef003a432,10,1,0,2786,,,,,
0x68fc984eebaae368d03da4a9e8d3c3617aa61f46,10,1,0,4990,,,,,
0x34bfcef78cfbbba72e92d30efeea33e36f7e6a22,10,1,0,5996,,,,,
0x70f341d5e96878780cf492e8236e3653601e03d8,10,1,0,9198,,,,,
0xf1b865958c7de94e195f328ec1f4aa7a9597f407,10,1,0,3003,,,,,
0x941e7ee2a55c7ce86af6574c5736c8e53da36e7c,10,1,0,7580,,,,,
0x7902e6f4b4ff3e378efbd6edaa4577dd3dd5f067,20,2,0,"10478, 12453",,,,,
0x17e365e5e42455e332a74338c0dcc4b771baf788,10,1,0,12983,,,,,
0x16ecb14212d3689408ed2dd59b5eb321f6dd1ced,10,1,0,15448,,,,,
0x4928ae84bc1ab360d7513fe72cb281f8af89e3e2,11,1,1,2656,,,,,
0xa2a97a9d2b7348fd12fc23cc8fa6d1282e09999c,11,1,1,3993,,,,,
0xfdfa525fd28507fc1be70030d6765b3cffa2f24d,10,1,0,15634,,,,,
0x676d835fea2f5e40d4553395670ee6205c0886f0,10,1,0,12196,,,,,
0xa7a4a84d757011ec35d97c358bef4676c15df0a7,10,1,0,4248,,,,,
0xd91c6360b228ad6c13a1a0c50886c18ecc2f9a8b,14,1,4,14514,,,,,
0x3bf142bf8a07e3a05350b0778eb56f6e989777d5,10,1,0,13044,,,,,
0xeea381b364f2a858450a4cc35dac49bf7de1d66b,10,1,0,7461,,,,,
0x06185ae247586789a90f830b755891ca09e23da1,20,2,0,"10864, 6898",,,,,
0x1e32a4f28772c2be8e73d950ae29637f3c222b5f,10,1,0,14151,,,,,
0x36269f46c996de3b8f2ead79f6183e206aaff88c,10,1,0,14899,,,,,
0xa698a97f64e13bb58320d4d0563084bd8e722979,10,1,0,902,,,,,
0x302809f7d6cd34d737df352c798e24699d2048be,10,1,0,13881,,,,,
